Error word & consecutive word,Corrected words & its,Annotation
லட்சக்கணக்காணோர் டிக்கெட்டுகளை,லட்சக்கணக்கானோர் டிக்கெட்டுகளை,வேற்றெழுத்து
லட்சுமன் ரேகாவை,லட்சுமண் ரேகாவை,வேற்றெழுத்து
வக்கனையா இந்த,வக்கணையா இந்த,வேற்றெழுத்து
வக்காளத்து வாங்குவது,வக்காலத்து வாங்குவது,வேற்றெழுத்து
வசூளிக்கும் வழிமுறையை,வசூலிக்கும் வழிமுறையை,வேற்றெழுத்து
வந்தேரிகளான ஆரியர்கள்,வந்தேறிகளான ஆரியர்கள்,வேற்றெழுத்து
வம்சாவழி கொள்ளையர்கள்,வம்சாவளிக் கொள்ளையர்கள்,வேற்றெழுத்து
வம்சாவழியைச் சேர்ந்தவரும்,வம்சாவளியைச் சேர்ந்தவரும்,வேற்றெழுத்து
வயிற்ருப்போக்கு,வயிற்றுப்போக்கு,வேற்றெழுத்து
வரதட்சனை கொடுமை,வரதட்சணைக் கொடுமை,வேற்றெழுத்து
வருக்கிறார்கள்,"வருகிறார்கள்,வறுக்கிறார்கள்,வரிக்கிறார்கள்",வேற்றெழுத்து
வருக்கின்றன,வறுக்கின்றன,வேற்றெழுத்து
வரையரைக்குள்ளும் வராத,வரையறைக்குள்ளும் வராத,வேற்றெழுத்து
வலியுருத்தியும் உயர்நீதிமன்றமே,வலியுறுத்தியும் உயர்நீதிமன்றமே,வேற்றெழுத்து
வல்லுனருமான சுப்பிரமணிய,வல்லுநருமான சுப்பிரமணிய,வேற்றெழுத்து
வல்லுனர்களாகவோ,வல்லுநர்களாகவோ,வேற்றெழுத்து
வல்லுனர்களுடன் விவாதித்து,வல்லுநர்களுடன் விவாதித்து,வேற்றெழுத்து
வல்லுனர்களை உருவாக்க,வல்லுநர்களை உருவாக்க,வேற்றெழுத்து
வல்லுனர்களை உருவாக்குதல்,வல்லுநர்களை உருவாக்குதல்,வேற்றெழுத்து
வல்லுனர்களை உருவாக்கும்,வல்லுநர்களை உருவாக்கும்,வேற்றெழுத்து
வல்லுனர்களையும் அமைச்சகங்களின்,வல்லுநர்களையும் அமைச்சகங்களின்,வேற்றெழுத்து
வல்லுனர்கள்,வல்லுநர்கள்,வேற்றெழுத்து
வழியுறுத்தியுள்ளது,வலியுறுத்தியுள்ளது,வேற்றெழுத்து
வழுக்கட்டாயமாக வேறு,வலுக்கட்டாயமாக வேறு,வேற்றெழுத்து
வளைதளங்களான,வலைத்தளங்களான,வேற்றெழுத்து
வனிகமயமாக்குவதை எதிர்கொள்ளவும்,வணிகமயமாக்குவதை எதிர்கொள்ளவும்,வேற்றெழுத்து
வனிகரீதியான்,வணிகரீதியான,வேற்றெழுத்து
வாரந்தோரும் வந்து,வாரந்தோறும் வந்து,வேற்றெழுத்து
வானியம்பாடி மற்றும்,வாணியம்பாடி மற்றும்,வேற்றெழுத்து
விசாரனைக்கு பின்னர்,விசாரணைக்குப் பின்னர்,வேற்றெழுத்து
விசாரனைக்குப் பிறகு,விசாரணைக்குப் பிறகு,வேற்றெழுத்து
விலக்கேற்றினான்,விளக்கேற்றினான்,வேற்றெழுத்து
விழுமியங்கழும் மற்றும்,விழுமியங்களும் மற்றும்,வேற்றெழுத்து
விளைவாசி கடுமையாக,விலைவாசி கடுமையாக,வேற்றெழுத்து
வீட்டிற்குள்லேயே அடைந்து,வீட்டிற்குள்ளேயே அடைந்து,வேற்றெழுத்து
வெண்களப் பதக்கம்,வெண்கலப் பதக்கம்,வேற்றெழுத்து
வேலைகளிகளும் நெறி,வேலைகளிலும் நெறி,வேற்றெழுத்து
வேளான்மை,வேளாண்மை,வேற்றெழுத்து
வேறோடு சாய்ந்தன,வேரோடு சாய்ந்தன,வேற்றெழுத்து
முன்னூறு ரூபாய்,முந்நூறு ரூபாய்,வேற்றெழுத்து
வம்சாவழியை சேர்ந்த,வம்சாவளியைச் சேர்ந்த,வேற்றெழுத்து
வரதட்சனைக் கொடுமை,வரதட்சணைக் கொடுமை,வேற்றெழுத்து
வரையரைகளற்ற,வரையறைகளற்ற,வேற்றெழுத்து
வர்ணணையாளருமான டீன்,வர்ணனையாளருமான டீன்,வேற்றெழுத்து
வழங்களைச் சரியான,வளங்களைச் சரியான,வேற்றெழுத்து
அகற்ற தனி,அகற்றத் தனி,வினையெச்சம்
அதட்டி கேட்டேன்,அதட்டிக் கேட்டேன்,வினையெச்சம்
அதிகரிக்க கூடுதல்,அதிகரிக்கக் கூடுதல்,வினையெச்சம்
அமைக்ககூடியதாகவும் உள்ளது,அமைக்கக்கூடியதாகவும் உள்ளது,வினையெச்சம்
